comments,likes,Target
akhilesh yadav,1,Akhilesh
jay akhilesh tay akhilesh,0,Akhilesh
desh ki janta privar vadse sakkt naffrat lagi hai,0,Akhilesh
jay samajwadi parti,0,Akhilesh
himmat yahn devgan ji light ati pahle ati emandar plzsachhai dikhaye apko aur kahe,0,Akhilesh
motivate friend family vote yogi pls,0,Akhilesh
akhilesh yadav damdaari lalu yadav tejaswi yadav mamta banerjee om prakash rajbhar,0,Akhilesh
kasam maza aa imandar patrakar,0,Akhilesh
app awaz depend,0,Akhilesh
bjp jeet sirf opcharik ghosna baki he,1,Akhilesh
akhilesh   party bandhan,0,Akhilesh
जय अखिलेश सरकार पका,0,Akhilesh
akhilesh bhaiya aapki jeet jarur,3,Akhilesh
yogi baba zindabad,0,Akhilesh
akhlesh yadav nfrat failata,0,Akhilesh
yogi jindabad,0,Akhilesh
sacha patrakar,0,Akhilesh
ye intervew akhilesh jeet karayega,0,Akhilesh
कन्नौज सब रोजगार देता बीजेपी सरकार लिखा सब बंद अलावा बीजेपी पास काम भाई सब रोजगार बंद होगा बोट थोड़ी देंगे बीजेपी हार सामना पड़ेगा बीजेपी,65,Akhilesh
चाहता हूं योगी आदित्यनाथ दोबारा मुख्यमंत्री बने योगी मोदी जिंदाबाद,1,Akhilesh
yogi desh sabase achha cm,3,Akhilesh
मैडम interview ले रहीं लग बीजेपी लड़ाई आईं,0,Akhilesh
अखिलेश युवाओं किसानों जान,0,Akhilesh
तरफ अकेला शेर अखिलेश दूसरी तरफ bjp kaबहुरूपियो भेष,1,Akhilesh
akhilesh yadav bhaiya jitenge,3,Akhilesh
अबकी बार sp,0,Akhilesh
बार समाजवादी सरकार,67,Akhilesh
jai akhlish,0,Akhilesh
nice expression,2,Akhilesh
jay akhilesh,1,Akhilesh
भगवान छोटे बड़े परशुराम रूप देख वाह भाई अखिलेश वाह छोटी बड़ी मूर्ति है।बड़ी हसीं कहने इनको दिक्कत भगवान परशुराम मंदिर बनवा केवल बुलाने गए,8,Akhilesh
questions baba puccho bhaag jayege,2,Akhilesh
happy year sir,55,Akhilesh
jai akhilesh,0,Akhilesh
feel pain anjana om modi,11,Akhilesh
योगी सरकार।,0,Akhilesh
lall l’allan lall l’allan,1,Akhilesh
yogi sawal pucch,0,Akhilesh
akhilesh jann,0,Akhilesh
छापे उल्टे पडेगे सपा फायदा मिलैगा,0,Akhilesh
अखिलेश  आप निष्पक्ष पत्रकार देवगनक्यों बारबार शर्मिंदा हैं,0,Akhilesh
jai akhilesh vijay akhilesh,2,Akhilesh
akhilesh bhaiya khub bat anjana khub khichai anjana bjp chaplus karengi channel bharosa,0,Akhilesh
दंगों मुकदमे थे,0,Akhilesh
